,0
850,"Daylight Solutions, Inc."
851,"The Government of the United States of America as represented by The Secretary of The Department of Health and Human Services, The National Institutes of Health"
852,"Siemens Medical Solutions USA, Inc."
853,"ATTOSTAT, INC."
854,Toshiba Tec Kabushiki Kaisha
855,"Solvay Specialty Polymers USA, LLC"
856,Howard University
857,"Narsys, LLC"
858,"Lux Bio Group, Inc."
859,Nestec S. A.
860,VERILY LIFE SCIENCES LLC
861,"Solan, LLC"
862,"Amkor Technology, Inc."
863,SAE Magnetics (HK) Ltd.
864,"POSiFA MICROSYSTEMS, INC."
865,Southwest Research Institute
866,Sun Chemical Corporation
867,Exatec LLC
868,"Building Envelope Innovations, LLC"
869,"Biocare Medical, LLC"
870,"Samsung Corning Precision Materials Co., Ltd"
871,"Ostendo Technologies, Inc."
872,"Entegris, Inc."
873,Biosense Webster (Israel) Ltd.
874,Dr. Reddy's Laboratories Ltd.
875,"Siluria Technologies, Inc."
876,"Voxtel, Inc."
877,"Canon, Inc. "
878,APPLIED MATERIALS ISRAEL LTD.
879,"NetApp, Inc."
880,"Pendar Technologies, LLC"
881,Kansei Corporation 
882,Adeka Corporation
883,"Coriant Advanced Technology, LLC"
884,GOOGLE TECHNOLOGY HOLDINGS LLC
885,"Professional Compounding Centers of America, Ltd"
886,"Allison Transmission, Inc."
887,Columbia Insurance Company
888,"Kulite Semiconductor Products, Inc"
889,ROM Corporation
890,Crystal Solar Inc.
891,"Advanced Cardiovascular Systems, Inc."
892,NDSU Research Foundation
893,"Alcon Research, Ltd."
894,Stellenbosch University
895,"Akron Polymer Systems, Inc."
896,"SNS NANO FIBER TECHNOLOGY, LLC"
897,"New Technology Ventures, Inc."
898,Wyatt Technology Corporation
899,Momentive Performance Materials Inc.
900,Coactive Drive Corporation
901,"AIR PRODUCTS AND CHEMICALS, INC."
902,The United States of America as repesented by the Secretary of Commerce
903,The Regents of the University of Colorado
904,"BHA Technologies, Inc."
905,"Yissum, Research Development Company of the Hebrew University of Jerusalem"
906,Shell Oil Company
907,Dolby Laboratories Licensing Corporation
908,"SK Telecom Co., Ltd"
909,Carl Zeiss Microscopy GmbH
910,"Deep Science, LLC"
911,"SixPoint Materials, Inc."
912,"Pinnacle Technology, Inc."
913,"ARBOR THERAPEUTICS, LLC"
914,"Ford Global Technologies, Inc."
915,SEIKO NPC Corporation
916,II-VI Incorporated
917,"Precision Custom Coatings, LLC"
918,"Amazon Technologies, Inc."
919,"Altivera, LLC"
920,"Cavium, Inc."
921,E Ink Corporation
922,SYNTHOMER USA LLC
923,"Ambature, Inc."
924,AT&T Corporation
925,"Ma-West, Inc."
926,"Neural Signals, Inc."
927,The Children's Medical Center Corp.
928,Milliken & Company
929,"Advanced Technology Materials, Inc."
930,IMDS Corporation
931,Kureha Corporation
932,"Rockwell Collins, Inc."
933,"Smith & Nephew, Inc."
934,"Tarveda Therapeutics, Inc."
935,Angstron Materials
936,"Kinestral Technologies, Inc."
937,"Board of Regents of the Nevada System of Higher Education, on behalf of the University of Nevada, Reno"
938,"Prosoft International, Inc."
939,National Security Agency
940,"Anterios, Inc."
941,"Copernicus Therapeutics, Inc."
942,"Interface Performance Materials, Inc."
943,Global Filtration Systems
944,Watlow Electric Manufacturing Company
945,Louisiana Tech Research Corporation
946,"LIQUID X PRINTED METALS, INC."
947,"Praxair S.T. Technology, Inc."
948,Traex Corporation
949,Qualsig Inc.
950,"Sanyo Electric Co., Ltd."
951,Sanuvox Technologies
952,Nagoya Institute of Technology
953,"Nippon Shokubai Co., Ltd."
954,Colorado State University Research Foundation
955,"NCC Nano, LLC"
956,Ticona LLC
957,"True-Safe Technologies, Inc."
958,Avery Dennison Corporation
959,Custom Electronics Inc.
960,"Innovalight, Inc."
961,"MONTEREY RESEARCH, LLC"
962,"W&Wsens Devices, Inc."
963,Pelican Imaging Corporation
964,The University of Liverpool
965,Pfizer Inc.
966,Kronos International Inc
967,"Laserline Mfg., Inc."
968,LORDO AMERICA
969,Selas Heat Technology Company LLC
970,"Wostec, Inc. 032138/0242"
971,ABB AB
972,Rensselaer Polytechnic Institute (RPI)
973,"NovaSolix, Inc."
974,Raytheon BBN Technologies Corp.
975,Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO
976,Cymatics Laboratories Corp.
977,"Facebook, Inc."
978,"Nissan North America, Inc."
979,"Meso Scale Technologies, LLC."
980,"NanoLab, Inc."
981,The Eastern Co.
982,University of Iowa Research Foundation
983,Research Foundation of State University of New York
984,"DCG SYSTEMS, INC."
985,Arkival Technology Corp.
986,GENCO SCIENCES LLC
987,"Kashiv Pharma, LLC"
988,"Bestway, Inc."
989,"S&S X-Ray Products, Inc."
990,Tufts University
991,University of Oregon
992,"LUCERA LABS, INC."
993,"Perkinelmer Holdings, Inc."
994,"Oculus VR, LLC"
995,"Rolls-Royce North American Technologies, Inc."
996,"University of Georgia Research Foundation, Inc."
997,DEKA Products Limited Partnership
998,"Roho, Inc."
999,COVERIS FLEXIBLES US LLC
1000,Bluestar Silicones France
1001,The Board of Supervisors of Louisiana State University and Agricultural and Mechanical College
1002,"MANUFACTURING RESOURCES INTERNATIONAL, INC."
1003,"III HOLDINGS 1, LLC"
1004,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY CORPORATION
1005,Evernote Corporation
1006,"Princeton Optronics, Inc."
1007,Garrity Power Services LLC
1008,Sanford-Burnham Medical Research Institute
1009,National Institutes of Health
1010,Wayne State University
1011,The Ohio State University Research Foundation
1012,"Shubin, Inc."
1013,"Aushon Biosystems, Inc."
1014,"The Carbon Cable Company, LLC"
1015,Kinetech Power Company LLC
1016,NeoVision LLC
1017,"Molecular Imprints, Inc."
1018,Wake Forest University
1019,"Vindico NanoBioTechnology, LLC"
1020,Nanao Corporation
1021,Ecole Normale Superieure de Cachan
1022,University of Washington 
1023,UAB Research Foundation
1024,"Sigmatel, Inc."
1025,"Adlens Beacon, Inc."
1026,"Photon Dynamics, Inc. "
1027,The Paymaster Corporation
1028,"Cambridge Electronics, Inc."
1029,Stichting Energieonderzoek Centrum Nederland
1030,Fayetteville State University
1031,"Allertein Therapeutics, LLC"
1032,"IBC Pharmaceuticals, Inc."
1033,"Illinois Tool Works, Inc."
1034,The Scripps Research Institute
1035,Mintera Corporation
1036,Certain-teed Corporation
1037,"Manta Instruments, Inc."
1038,VEECO PRECISION SURFACE PROCESSING LLC
1039,ACUCELA INC.
1040,"TOMOWAVE LABORATORIES, INC."
1041,University of Manitoba
1042,"Agilent Technologies, Inc."
1043,"NXP USA, INC."
1044,"The Research Foundation of State University Of New York Research Development Services, Binghamton University"
1045,"Thorlabs Quantum Electronics, Inc."
1046,INTEL IP CORPORATION
1047,MAHLE International GmbH
1048,"TECNIUM, LLC"
1049,"Stratasys, Inc."
1050,Carl Zeiss Meditec AG
1051,Chiron Corporation
1052,"ADMA Products, Inc."
1053,Crystal Solar Incorporated
1054,"Selkermetrics, LLC"
1055,Nutech Ventures
1056,Children's National Medical Center
1057,NANOBIO CORPORATION
1058,WADHAM ENERGY LP
1059,"AstenJohnson, Inc."
1060,"Rebellion Photonics, Inc."
1061,"Ziptronix, Inc."
1062,Aneeve LLC
1063,"TetraSun, Inc."
1064,University of Rochester
1065,Evoqua Water Technologies LLC
1066,"Industrial Science & Technology Network, Inc."
1067,Asahi Kasei Kabushiki Kaisha
1068,"The United States of America, Naval Undersea Warfare Center"
1069,University of Virginia Patent Foundation
1070,Mary Hitchcock Memorial Hospital
1071,"Clearside Biomedical, Inc."
1072,The Trustees of the Stevens Institute of Technology
1073,"Lehigh Technologies, LLC"
1074,"NanoTech Lubricants, LLC"
1075,"Cisco Technology, Inc."
1076,"Piksel, Inc."
1077,Corporation for National Research Initiatives
1078,ATI Technologies ULC
1079,"Yeda Research and Development Co., Ltd."
1080,Quantum Materials Corporation
1081,Dialogic Corporation
1082,Dialight Corporation
1083,"Mission Product Holdings, Inc."
1084,Aerosol Dynamics Inc.
1085,"Sequenom, Inc."
1086,ECOSYNTHETIX LTD.
1087,Solaris Holdings Limited
1088,"ITN Energy Systems, Inc."
1089,EPCOS AG
1090,"Ormet Circuits, Inc."
1091,"SEEK THERMAL, INC."
1092,Ivoclar Vivadent AG
1093,The United States Goverment as represented by the Administrator of the Environmental Protection Agency
1094,Ormat Technologies Inc.
1095,"Nanomix, Inc."
1096,"Elenion Technologies, LLC"
1097,Columbia University
1098,"Magnolia Solar, Inc."
