"Company Name","Address","City","State","ZIP Code","Website","Company Description","Primary NAICS","NAICS 1","NAICS 2","NAICS 3","NAICS 4","Location Employee Size Actual","Location Sales Volume Actual","Type of Business"
"Lulu's Restaurant","16900 Roscoe Blvd","Van Nuys","CA","91406","Lulusrestaurant.Com","For over 29 years, Lulu's Restaurant has been providing catering services. Based in Van Nuys, Calif., the restaurant offers a diverse menu of appetizers, sandwiches, salads, side dishes, chicken and desserts. It serves roast turkey breast dinner, Hawaiian kabobs, barbecue (BBQ) chicken, sandwich platter, chicken club, Buffalo wings, breaded chicken tenders and shrimp cocktail. Lulu's Restaurant renders catering services for a variety of occasions, including business meetings, private parties, school functions, sporting events, weddings and funerals.","722511","722511","","","","00050","$2,959,000","Private"
"Maks Boutique","28562 Oso Pkwy # E","Rancho Sta Marg","CA","92688","Boutiquesforwomen.Com","","448120","448120","","","","00003","$465,000","Private"
"Martin Wardin Eissner Fncl Inc","480 Saint John St # 120","Pleasanton","CA","94566","Mwefinancial.Com","","523930","523910","523930","524210","","00007","$2,410,000","Private"
"Mcdonald Refrigeration Inc","605 California Ave","Seaside","CA","93955","Mcdonaldref.Com","For over 70 years, McDonald Refrigeration Inc. has been providing services in the areas of commercial and domestic refrigeration to the Monterey County and Central Coast areas. Based in Sand City, Calif., it offers services and installation for equipment, including walk-in cooler, freezer, deli cases, wine coolers, cellars, rack systems and meat cases. The firm provides products for some of the leading manufacturers, such as Hoshizaki, Manitowoc, Beverage Air, True, Hobart, Master-Built, Copeland, Tecumseh and Century Refrigeration, among others. McDonald Refrigeration Inc.'s client list includes Costco, Chevron, KFC, Subway, Moss Landing Marine Lab and Germain Technology Group, to name a few.","425120","425120","811310","811212","999990","00008","$17,837,000","Private"
"Meta Law Inc","1893 Knoll Dr","Ventura","CA","93003","Metalawinc.Com","","541110","541110","","","","00002","$471,000","Private"
"Minute Key","2225 Otay Lakes Rd","Chula Vista","CA","91915","Minutekey.Com","","561622","561622","","","","00002","$0","Private"
"Monterey Bay Caterers","152 W Lake Ave","Watsonville","CA","95076","Test0.Com","","722320","722320","453998","","","00012","$653,000","Private"
"Mu/Dai","12575 Beatrice St","Los Angeles","CA","90066","Mudaidesign.Com","","541310","541310","","","","00004","$767,000","Private"
"Nationwide Transport Svc","3183 Wilshire Blvd","Los Angeles","CA","90010","Nationwidetransportservices.Com","","484230","484230","","","","00004","$995,000","Private"
"Nexus Properties Inc","6256 Greenwich Dr # 520","San Diego","CA","92122","Nexusprop.Com","","237210","531210","237210","","","00003","$881,000","Private"
"Novatime Technology","1255 Corporate Center Dr","Los Angeles","CA","90023","Novatime.Com","","541214","541214","","","","00020","$3,242,000","Private"
"Old Spaghetti Factory-Rancho","11896 Foothill Blvd","Rancho Cucamonga","CA","91730","Osf.Com","","722511","722511","722310","","","00090","$4,559,000","Private"
"Orogold","807 Spectrum Center Dr","Irvine","CA","92618","Orogoldcosmetics.Com","","446120","454110","446120","","","00002","$335,000","Private"
"Pacific Slope Tree Co-Op","11201 State Route 1 # 201","Point Reyes Sta","CA","94956","Pacificslopetree.Com","","561730","561730","561730","444220","999990","00002","$210,000","Private"
"Park Avenue Cleaners","1643 Contra Costa Blvd","Pleasant Hill","CA","94523","Parkavenuecleaners.Com","","812320","812320","","","","00002","$160,000","Private"
"Peet's Coffee & Tea","3399 Bowers Ave","Santa Clara","CA","95054","Peets.Com","","722515","722515","","","","00015","$932,000","Private"
"Phoenix First Credit","11835 Carmel Mountain Rd","San Diego","CA","92128","Phoenixfirstcredit.Com","","522292","522320","522292","","","00004","$1,928,000","Private"
"Plein Air","811 N Catalina Ave","Redondo Beach","CA","90277","Pleinairinc.Com","","423990","423990","","","","00002","$2,042,000","Private"
"Premiere Practice Transitions","155 E Shaw Ave # 317","Fresno","CA","93710","Premierepracticetransitions.Com","Dental transitions don't have to be complicated or difficult. Serving California, Nevada, Oregon, and Washington State, our dental brokers have successfully helped to guide dental practice owners through the issues surrounding retirement, buying, and selling their dental practices. When you need a dental practice broker you can trust and rely upon, we have the experience and knowledge to facilitate an easier transition.","621999","621210","621999","","","00006","$1,206,000","Private"
"Provision Ministry Group","5 Peters Canyon Rd # 330","Irvine","CA","92606","Provision.Org","Provision Ministry Group is a unit of three ministries, serving Christian Churches and Churches of Christ in North America. The organization was established in 2003 to provide direction, leadership and support services to its ministry partners that began with Church Development Fund in 1953. Church Development Fund provides financing for the expansion, building and growth of churches and ministries throughout the United States. The ministry partners in the Provision Ministry Group provide financial resources, management services and leadership support through investment options, church loans, new church planting, real estate services, construction consultation, master planning, and church site design services. Provision Ministry Group is located in Irvine, Calif.","813110","611110","813319","813110","","00050","$0","Private"
"R J Eisman Cabinetry","9819 Owensmouth Ave","Chatsworth","CA","91311","Rjeismancabinetry.Com","","337110","337110","","","","00003","$691,000","Private"
"Re/Max Investments","12 N San Mateo Dr","San Mateo","CA","94401","Remax.Com","","531210","523910","531210","","","00013","$2,362,000","Branch of Public Company"
"Rent-A-Ctr","1218 W Olive Ave","Merced","CA","95348","Locations.Rentacenter.Com","At the Merced Rent-A-Center, rent or buy furniture, computers, appliances, & electronics with weekly payments or 90-days same as cash! No credit check, waiting period or interest!","532289","442110","443141","443142","443142","00010","$1,031,000","Branch of Public Company"
"Ritz Plumbing","","Glendale","CA","91203","Ritzplumbing.Com","","238220","238220","","","","00003","$457,000","Private"
"Rosas, Jorge F MD","2825 Capitol Ave","Sacramento","CA","95816","Sutterhealth.Org","","621111","621111","","","","00003","$644,000","Private"
"S2 Wine Brokers","1110 Alta Ave","Napa","CA","94559","S2wines.Com","","448120","448120","","","","00004","$1,284,000","Private"
"San Diego Neonatology Inc","8690 Aero Dr # 115","San Diego","CA","92123","Sdneo.Com","","621111","621111","","","","00003","$647,000","Private"
"Sargam Indian Cuisine-Wc","140 N Civic Dr","Walnut Creek","CA","94596","Sargamindiancuisine.Net","","722511","722511","","","","00006","$349,000","Private"
"See's Candies Chocolate Shop","395 Parkway Plz","El Cajon","CA","92020","Sees.Com","","445292","311352","311351","424450","445292","00007","$598,000","Branch of Public Company"
"Shelcon Inc","2081 S Hellman Ave # J","Ontario","CA","91761","Rewritables.Net","","423830","337127","333922","339112","423830","00005","$5,394,000","Private"
"Silverman Adam","510 W Garfield Ave","Glendale","CA","91204","Adamsilverman.Net","","711510","512199","711510","","","00001","$174,000","Private"
"So Cal Limousine","","San Clemente","CA","92672","Skylimousine.Net","","485320","485320","811111","","","00002","$150,000","Private"
"Southside Tinting & Tunes","4713 Franklin Blvd","Sacramento","CA","95820","Southsidetintingandtunes.Com","","811122","811122","","","","00004","$410,000","Private"
"St Margaret's Episcopal School","21 Caledon Ct","Aliso Viejo","CA","92656","Smes.Org","","611110","611110","","","","00007","$0","Private"
"State Farm Insurance","7273 14th Ave # 100","Sacramento","CA","95820","Teamyehchen.Com","I am here to help you to protect everyone and everything you Love! Agent license number: 0H91819.","524210","524298","524210","524210","524210","00006","$930,000","Private"
"Studio William Hefner","5820 Wilshire Blvd # 500","Los Angeles","CA","90036","Williamhefner.Com","","541310","541310","541310","","","00004","$767,000","Private"
"Sunshine Home Care","11812 Lakeside Ave","Lakeside","CA","92040","Sunshinehomehealth.Com","","623312","623312","","","","00003","$0","Private"
"Synergy Workplaces","8105 Irvine Center Dr # 9","Irvine","CA","92618","Synergyworkplaces.Com","","531312","531120","531312","531210","999990","00003","$456,000","Private"
"Teal Studio","42430 56th St W","Quartz Hill","CA","93536","Thetealstudio.Com","'Photography & Video of a Better Kind'","541921","541921","","","","00001","$62,000","Private"
"Thriving Canine","","San Jose","CA","95118","Thrivingcanine.Com","","812910","812910","","","","00001","$72,000","Private"
"Touch Stone Massage Therapy","8265 Northwind Way","Orangevale","CA","95662","Tsmassagetherapy.Com","","812199","812199","","","","00001","$48,000","Private"
"True Jesus Church","1349 Hays St","San Leandro","CA","94577","Tjc.Org","","813110","813110","","","","00003","$0","Private"
"Ucsf Diabetes Teaching Ctr","400 Parnassus Ave # 5th","San Francisco","CA","94143","Deo.Ucsf.Edu","","621111","621111","","","","00003","$677,000","Private"
"UPS Store","555 N El Camino Real # A","San Clemente","CA","92672","Theupsstore.Com","We offer in-store and online printing, document finishing, mailbox services, notary, packing and shipping, all tailored to fit your small business - locally owned and operated and here to help.","541860","491110","483211","424130","541921","00002","$293,000","Branch of Public Company"
"Vallejo Senior Citizens","333 Amador St","Vallejo","CA","94590","Vallejoseniorcenter.Com","","624120","624120","","","","00005","$237,000","Private"
"Victor Legal Solutions","1971 Westridge Rd","Los Angeles","CA","90049","Victorls.Com","","561312","561312","","","","00001","$78,000","Private"
"W D Tax Svc","3967 E Thousand Oaks Blvd # F","Westlake Village","CA","91362","Wdtaxservices.Com","","541213","541213","","","","00002","$72,000","Private"
"Weight & Health Clinic","5323 W Hillsdale Ave","Visalia","CA","93291","Weightandhealthclinic.Com","","812191","812191","","","","00004","$171,000","Private"
"Westlake Market","1260 Lake Blvd # 101","Davis","CA","95616","Westlakemarket.Net","","445110","445110","445110","","","00020","$4,544,000","Private"
"Wingstop","5857 S Central Ave # 170","Los Angeles","CA","90001","Wingstop.Com","","722513","722513","722513","722513","","00015","$888,000","Branch of Public Company"
"YMCA","525 Hans Ave","Mountain View","CA","94040","Ymca.Net","","624110","624110","624190","624410","","00005","$313,000","Private"
"A P D C-Co Language Connection","1537 Alton St","Aurora","CO","80010","Coloradolanguageconnection.Org","","541930","541930","","","","00003","$200,000","Private"
"American Family Insurance","9255 W Alameda Ave # A","Lakewood","CO","80226","Amfam.Com","","524210","524210","","","","00004","$570,000","Private"
"Attorney Service Ctr","216 16th St # 600","Denver","CO","80202","Attorneysservice.Com","","561410","561410","561492","","","00005","$390,000","Private"
"Boulder Light Bulb","2546 Spruce St","Boulder","CO","80302","Boulderlightbulb.Com","","423610","423610","811219","","","00003","$2,282,000","Private"
"Chapman's Pub","366 W Main St","New Castle","CO","81647","Chapmanspubhouse.Com","","722410","722410","","","","00003","$183,000","Private"
"Colorado Tour Transportation","544 Forest Trl","Winter Park","CO","80482","Coloradotour.Com","","488210","485320","488210","","","00005","$455,000","Private"
"Dazbog Coffee Co","202 Wilcox St","Castle Rock","CO","80104","Dazbog.Com","","722515","722515","454110","","","00010","$502,000","Private"
"El Charro Restaurant & Cantina","2109 9th St","Greeley","CO","80631","Elcharrodeliver.Com","","722511","722511","","","","00020","$806,000","Private"
"Flextec","5075 Centennial Blvd","Colorado Springs","CO","80919","Flextec.Net","","322220","322220","323111","","","00020","$3,037,000","Private"
"Green By Nature LLC","3183 S Columbine St","Denver","CO","80210","Greenbynature.Net","","561990","561990","","","","00002","$165,000","Private"
"Hyde Engineering Consulting","6260 Lookout Rd # 120","Boulder","CO","80301","Hyde-Ec.Com","Established in 1993, JM Hyde Consulting offers a range of engineering, commissioning and validation services of various manufacturing facilities and utility systems. It offers services to several equipment vendors and the pharmaceutical and biopharmaceutical industries. The company provides process design consultation services that include facility surveys, equipment reliability analyses and optimization of process systems. It also organizes seminars and workshops on engineering principles, system components and functions, control strategies, and cleaning validation principles and practices. The company s compliance and validation programs include documentation and commissioning and qualification. JM Hyde Consulting maintains one of its locations in Boulder Colo.","541330","541330","","","","00020","$4,066,000","Private"
"Key Transmission & Gears","1825 W Union Ave # 6","Englewood","CO","80110","Keytransmissionandgears.Com","","811111","441310","811113","811113","811111","00015","$1,755,000","Private"
"Luann Ott Jilot P C","598 S Gilpin St","Denver","CO","80209","Ottjilot.Com","Experienced Lawyer - Full Service Law Firm.Experienced Denver, Colorado, LawyerAt the law office of LuAnn Ott Jilot, P.C., we have represented clients throughout Colorado in a wide range of real estate, civil litigation, probate and estate administration, personal injury and Social Security disability matters for more than two decades.Whether you are buying a home or a commercial property, seeking estate planning guidance or compensation for an injury or are in the middle of a civil litigation dispute, contact us for personal attention and knowledgable legal advice.Attorney Ott Jilot will carefully evaluate your situation and explain your options. Her extensive experience and skilled representation will help you reach your legal goals. Contact LuAnn Ott Jilot, P.C., for a consultation and case evaluation.Over 20 Years Experience, Timely, Cost Effective Resolutions, Colorado Law Practice","541110","541110","","","","00003","$456,000","Private"
"Moorland Consulting","4105 E Florida Ave","Denver","CO","80222","Moorlandventures.Com","","541618","541618","","","","00002","$261,000","Private"
"Orkin","1902 Aerotech Dr # 130","Colorado Springs","CO","80916","Orkin.Com","Established in 1901, Orkin, LLC is a one of the leading pest control service providers in the United States. It specializes in protection against termite damage, rodents and insects. Based in Atlanta, Ga., the company offers a range of services, such as termite control, pest control and prevention against bed bugs. It serves homeowners and numerous industries, including food and beverage processing, food service, hospitality, health care, retail, warehousing, property/facilities management, schools and institutions. The company provides pest control services to clients in the United States, Canada, Mexico, Europe, Central America, the Middle East, the Caribbean, Asia and the Mediterranean.","561710","561710","","","","00020","$2,968,000","Branch of Public Company"
"Preferred Stucco Systems Inc","1831 W 135th Pl","Denver","CO","80234","Preferredstucco.Com","","238140","238140","","","","00010","$1,396,000","Private"
"Rock Assembly Of God","415 Beattie St","Sterling","CO","80751","Therockaog.Com","","813110","813110","","","","00002","$0","Private"
"Signal Graphics Print Signs","100 Broadway St # 1c","Sterling","CO","80751","Signalgraphics.Com/59","","561110","323111","339950","339950","541850","00004","$658,000","Private"
"Studio 420","3995 S Broadway","Englewood","CO","80113","Ibakeenglewood.Com","iBAKE Englewood is the nations first ''Private Membership'' Headshop that allows legal cannabis consumption onsite. We are 420 & 710 friendly!!! You must be 21  with valid ID. $10 monthly membership fee and $2 daily fee after you join. iBake Englewood is a retail outlet that carries a large variety of smoking accessories and heady glass. These smoking accessories include vaporizers, hand blow glass pipes and water pipes, hookahs, grinders, rolling papers, lighters, and ashtrays. Along with the wide variety of products iBake Englewood offers a unique experience and is open 12pm-12am daily.","453991","453991","453991","","","00002","$323,000","Private"
"Truesdell's Plumbing Supls Co","3120 Brighton Blvd","Denver","CO","80216","Plumbdummy.Com","","238220","238220","","","","00004","$627,000","Private"
"Wealth Engineers","600 17th St # 2800","Denver","CO","80202","Wealthengineersllc.Com","Wealth Engineers is a fee-only independent Registered Investment Advisor (RIA) serving clients in Denver, CO, Los Angeles, CA, and throughout the country. We work with a select group of clients who desire an alternative to the high costs and conflicts of interest of a typical financial advisor.     Our approach combines Nobel Prize winning investment research with logical, client-focused financial planning. We help our clients develop a clear path to achieve their financial goals so they can focus on enjoying the journey instead of worrying about the destination.","523930","523910","523930","523920","523930","00001","$335,000","Private"
"Adonai Pro Painting","11 Rockland Cir","Trumbull","CT","06611","Adonaipropainting.Com","","238320","238320","444190","","","00015","$2,734,000","Private"
"Az Pawn","442 E Main St","Norwich","CT","06360","Azpawn.Net","","522298","522298","451110","522291","","00002","$976,000","Private"
"Car Guys","36 Virginia Ave # 1","Waterbury","CT","06705","Carguysnow.Com","We Negotiate for You!","541690","541690","","","","00007","$773,000","Private"
"Connecticut Surgical Group","85 Seymour St # 505","Hartford","CT","06106","Connecticutmag.Com","","621111","621111","","","","00003","$582,000","Private"
"Dunkin' Donuts","262 Meriden Waterbury Tpke","Southington","CT","06489","Dunkindonuts.Com","","722515","722515","722515","722511","722515","00012","$1,152,000","Branch of Public Company"
"Full Of Spirit Package Store","682 Long Hill Rd","Groton","CT","06340","Fosgroton.Com","We'll Raise your Spirit","445310","445310","","","","00002","$519,000","Private"
"Home Choice Senior Care Inc","21 Charles St # 208","Westport","CT","06880","Homechoicect.Tripod.Com","Located in Westport, Conn., Home Choice Senior Care has been offering companion care services for more than 15 years. The agency specializes in 24-hour nursing care services. It provides meal planning and preparation and transportation services. It offers assistance with housekeeping, medication, bathing, grooming and bill paying. Home Choice Senior Care hires individuals who pass criminal and motor vehicle background checks with stellar marks.","621610","621610","624120","623312","623312","00075","$3,801,000","Private"
"Landandbuildings","3 Pickwick Plz","Greenwich","CT","06830","Landandbuildings.Com","","525990","525990","","","","00002","$2,834,000","Private"
"Milford Smile Care","302 Merwin Ave","Milford","CT","06460","Milfordsmilecare.Com","","621210","621210","","","","00009","$1,237,000","Private"
"Optimus Health Care","982 E Main St","Bridgeport","CT","06608","Optimushealthcare.Net","","621111","621111","","","","00003","$554,000","Private"
"Ramon Insurance & Tax","935 S Main St","Waterbury","CT","06706","Progressiveagent.Com","","524210","524210","524210","541213","","00001","$166,000","Private"
"Six Days Cleaners","546 West Ave","Norwalk","CT","06850","Sixdayscleaners.Com","","812320","812320","","","","00002","$164,000","Private"
"Therapeutic Enterprises","602 Route 169","Woodstock","CT","06281","Therapeutic-Enterprises.Com","","621340","621340","","","","00010","$542,000","Private"
"Wellington Restaurant","51 Huntington Plz","Shelton","CT","06484","Wellingtonsshelton.Com","","722511","722511","","","","00008","$541,000","Private"
"Bethel Christian Church","2217 Minnesota Ave SE","Washington","DC","20020","Betheldc.Org","","813110","813110","","","","00002","$0","Private"
"Gonzaga Jesuit Community","19 I St NW","Washington","DC","20001","Gonzaga.Org","","813110","813110","","","","00004","$0","Private"
"Paul Rosenzweig Esq","501 C St NE","Washington","DC","20002","Paulrosenzweigesq.Com","","541110","541110","","","","00001","$438,000","Private"
"7-Eleven","100 Four Seasons Pkwy","Newark","DE","19702","7-Eleven.Com","","445120","445120","445110","","","00005","$1,612,000","Private"
"Difebos Rehoboth Beach","12 N 1st St","Rehoboth Beach","DE","19971","Difebos.Com","","722511","722511","","","","00010","$464,000","Private"
"NAPA Auto Parts-Fisher Auto","422 Union St","Millsboro","DE","19966","Napaonline.Com","NAPA Know How. More than 85 years ago, the National Automotive Parts Association (NAPA) was created to meet America's growing need for an effective auto parts distribution system. Today, 91% of do-it-yourself customers recognize the NAPA brand name.","441310","423120","441310","441310","441310","00007","$1,424,000","Branch of Public Company"
"Wilmington Trust Co","800 Delaware Ave","Wilmington","DE","19801","Wilmingtontrust.Com","","523991","522110","523991","","","00010","$3,074,000","Branch of Public Company"
"AAA Limousine Svc","1801 N Flagler Dr","West Palm Beach","FL","33407","Aaalimo.Net","","485999","485999","","","","00005","$340,000","Private"
"Advanced Ear Nose Throat Dr","1370 13th Ave S # 218","Jacksonville Bch","FL","32250","Jacksonvilleadvancedent.Com","","621111","621111","","","","00004","$853,000","Private"
"All Points Network Atms","1920 Parental Home Rd","Jacksonville","FL","32216","Allpointnetwork.Com","","522110","522110","","","","00000","$0","Private"
"American Sliding Door Repair","4309 W Pearl Ave # J","Tampa","FL","33611","Americanslidingdoor.Com","Since 2002, American Sliding Door has provided affordable door and sliding glass door replacement, sliding door repair and sliding glass door installation for commercial and residential customers throughout Tampa and surrounding communities. We have grown by providing quality on time service that has been recognized by the great reviews we get from customers, the Better Business Bureau, Angie's Li... See More","444190","236115","236118","238990","444190","00007","$2,055,000","Private"
"Army & Air Force Exchange Svc","305 W Van Matre Ave # 12","Eglin AFB","FL","32542","Aafes.Com","","448150","448150","","","","00003","$394,000","Private"
"Atm","1338 Plum St","Jennings","FL","32053","Star.Com","","522110","522110","","","","00000","$0","Private"
"Autozone","3190 S University Dr","Miramar","FL","33025","Autozone.Com","","441310","441310","441310","","","00010","$1,888,000","Branch of Public Company"
"Bath & Body Works","200 Towne Center Cir","Sanford","FL","32771","Bathandbodyworks.Com","","446120","446120","446120","","","00018","$2,867,000","Branch of Public Company"
"Best Western Seaside Inn","541 A1a Beach Blvd","St Augustine","FL","32080","Bestwestern.Com","","721110","454110","721110","","","00015","$1,577,000","Private"
"Bono's Of America Inc","10645 Philips Hwy # 200","Jacksonville","FL","32256","Bonosbarbq.Com","","722310","722320","722310","533110","","00020","$0","Private"
"Budget Management Inc","2106 Bispham Rd # B","Sarasota","FL","34231","Budgetselfstorageflorida.Com","","237210","237210","","","","00002","$0","Private"
"Captain Fred's Airboat Tours","4700 Crump Rd #C","Lake Hamilton","FL","33851","Captfreds.Com","","487210","487210","","","","00002","$208,000","Private"
"Central Florida Pet Crematory","10505 SE 36th Ave","Belleview","FL","34420","Cflpetcrematory.Com","","812910","812910","","","","00002","$289,000","Private"
"Chrissy's Automotive","490 Buena Vista Dr # B","Nokomis","FL","34275","Chrissysauto.Com","","811111","423120","811121","811111","","00002","$234,000","Private"
"Coastal Seamless Gutters LLC","1597 Rainsville Rd SE","Palm Bay","FL","32909","Coastalseamlessraingutters.Com","","238160","238160","","","","00002","$207,000","Private"
"Continental Warehouse Systems","1610 SW 7th Ave","Pompano Beach","FL","33060","Continentalwarehouse.Com","","531130","531130","","","","00002","$238,000","Private"
"Crystal Blue Water Svc Inc","1370 W Industrial Ave # 103","Boynton Beach","FL","33426","Crystalbluewater.Com","","541990","541990","","","","00002","$310,000","Private"
"Davis Transfer Co Inc","3225 Swindell Rd","Lakeland","FL","33805","Davistransfer.Com","","488510","488510","","","","00005","$948,000","Private"
"Discount Rental & Sales","840 Citrus Pl","Wellington","FL","33414","Sunbeltrentals.Com","","532490","532310","532490","","","00004","$1,970,000","Private"
"Ducati Miami","2825 NW 2nd Ave","Miami","FL","33127","M.Ducatimiami.Com","","441110","441110","441228","","","00004","$1,889,000","Private"
"Electrical Works","27406 Gator Point Dr","Yalaha","FL","34797","Electricalworksofcentralflorida.Com","We offer electrical service, repair, and installation services for any home or business including a 24-hour emergency service. We'll troubleshoot the problems you are having and fix them to strict standards. Services we offer include, but are not limited to: ceiling fan installation, lightning rod systems, whole house surge protection, Indoor & outdoor lighting, re-wiring, surge suppressors, main fuses & breakers, outlets, switches & light. In addition, we also perform a variety of service upgrades. We accept all major credit cards, call Electrical Works today to schedule your estimate.","236210","541320","236118","236210","236220","00003","$941,000","Private"
"Exclusive Auto Sales","2111 NW 139th St","Opa Locka","FL","33054","Xclusivecarsales.Com","","441120","425120","425120","441120","","00002","$945,000","Private"
"Fidelity Public Adjusters","2896 SW Newberry Ct","Palm City","FL","34990","Publicadjusters.Com","","524291","524291","","","","00003","$413,000","Private"
"Florida Dental Ctr-Lake Park","1535 Prosperity Farms Rd","West Palm Beach","FL","33403","Floridadentalcenteroflakepark.Com","","621210","621210","","","","00008","$1,245,000","Private"
"Francesca's Collections","8888 SW 136th St # 368","Miami","FL","33176","Francescas.Com","","448120","448120","448120","454110","","00006","$1,120,000","Branch of Public Company"
"General Insulation Co","4735 Distribution Dr","Tampa","FL","33605","Generalinsulation.Com","","444190","238990","325998","444190","","00021","$6,164,000","Private"
"Grace's Delicatessen West","7372 NW 72nd Ave","Miami","FL","33166","Gracesdeli.Com","","722513","722511","722513","","","00005","$260,000","Private"
"H&R Block","17860 SE 109th Ave # 604","Summerfield","FL","34491","Hrblock.Com","","541213","541213","","","","00007","$166,000","Branch of Public Company"
"Heitline Medical Printing","3241 SW 8th St","Miami","FL","33135","Heitline.Com","","323111","323111","323111","","","00003","$417,000","Private"
"Hoopers Concrete & Block","16297 Cortez Blvd","Brooksville","FL","34601","Hoopersconcreteblock.Com","We understand that finding the right contractor for your next project can be a tough task. We also know that the more you know about your particular home improvement venture the better you will be able to come to a decision.","237990","237310","238110","238910","237990","00003","$690,000","Private"
"Infinity Water Management LLC","13750 W Colonial Dr # 350","Winter Garden","FL","34787","Infinityh2o.Com","","813312","813312","","","","00005","$516,000","Private"
"Jackson Health System","19590 Old Cutler Rd","Cutler Bay","FL","33157","Jhsmiami.Org","","561990","561990","","","","00002","$201,000","Private"
"Jones & Co Realty","9360 Independence Way","Fort Myers","FL","33913","Bestcapecoralagent.Com","","531210","531210","","","","00004","$399,000","Private"
"Kids 'R' Kids","301 W Welch Rd","Apopka","FL","32712","Krkapopka.Com","","624410","624410","","","","00035","$1,236,000","Private"
"Lakewood Ranch Townhall","8175 Lakewood Ranch Blvd","Lakewood Ranch","FL","34202","Lakewoodranchgov.Org","","813910","531311","813910","","","00020","$0","Private"
"Library Suwannee River Regl","16403 Jewett St","White Springs","FL","32096","Suw.Ent.Sirsi.Net","","519120","519120","","","","00005","$0","Private"
"M & M Jewelry","1301 South Patrick Dr # 63","Satellite Beach","FL","32937","Mnmjewelry.Com","","448310","448310","","","","00001","$150,000","Private"
"Martyn Verster Law Office","9425 SW 72nd St # 124","Miami","FL","33173","Theclosingcompany.Net","","541110","541110","","","","00004","$827,000","Private"
"Mednax","1301 Concord Ter","Sunrise","FL","33323","Mednax.Com","","621111","621111","","","","00003","$620,000","Private"
"Mimi Nails LLC","835 E Oakland Park Blvd","Oakland Park","FL","33334","Leenailsalon.Net","","812112","812112","","","","00002","$84,000","Private"
"Murphy USA","4986 E Silver Springs Blvd","Ocala","FL","34470","Murphyusa.Com","","445120","445120","447190","447190","","00006","$1,182,000","Branch of Public Company"
"Newberry Animal Hospital","280 SW 250th St","Newberry","FL","32669","4newberryanimalhospital.Com","","541940","541940","541940","812910","","00020","$2,526,000","Private"
"Oivind E Jensen & Assoc","90 Cypress Way E # 20","Naples","FL","34110","Oaktreedentistrynaples.Com","","621210","621210","","","","00009","$1,487,000","Private"
"Pac Sun Outlet","10406 US Highway 98 W # 27","Destin","FL","32550","Pacsun.Com","","453998","448110","448120","448140","448190","00011","$1,265,000","Private"
"Paws Spay & Neutered Clinic","11720 US Highway 19 # 18","Port Richey","FL","34668","Pawsfl.Com","","541940","541940","","","","00025","$2,553,000","Private"
"Pilates Body","3017 Hillview St","Sarasota","FL","34239","Pilatesbodyoc.Com","","713940","812191","713940","","","00001","$52,000","Private"
"Premier Ankle & Foot Ctr","1950 US Highway 1 # 107","Rockledge","FL","32955","Davidasimonsondpm.Com","","621391","621111","621391","","","00003","$452,000","Private"
